Stock,Region,Area,BY,S,R
Inner South Coast wo Fraser,BC South Coast,South,1990,3299.77,3318.26
Inner South Coast wo Fraser,BC South Coast,South,1992,2206.5,1439.66
Inner South Coast wo Fraser,BC South Coast,South,1994,1231.72,2375.34
Area 10,BC Central Coast,South,1950,35,60.05
Area 10,BC Central Coast,South,1951,3.5,30.51
Area 10,BC Central Coast,South,1952,35,15.49
Area 10,BC Central Coast,South,1953,15.03,45.4
Area 10,BC Central Coast,South,1954,6,60.27
Area 10,BC Central Coast,South,1955,22.5,19.37
Area 10,BC Central Coast,South,1956,35.03,58.28
Area 10,BC Central Coast,South,1957,7.5,23.18
Area 10,BC Central Coast,South,1958,3.5,32.5
Area 10,BC Central Coast,South,1959,15.03,46.66
Area 10,BC Central Coast,South,1960,3.5,178.06
Area 10,BC Central Coast,South,1961,7.5,11.11
Area 10,BC Central Coast,South,1962,35,62.42
Area 10,BC Central Coast,South,1963,7.5,35.07
Area 10,BC Central Coast,South,1964,1.5,45.22
Area 10,BC Central Coast,South,1965,7.5,113.66
Area 10,BC Central Coast,South,1966,7.5,99.63
Area 10,BC Central Coast,South,1967,3.5,6.04
Area 10,BC Central Coast,South,1968,15.03,72.55
Area 10,BC Central Coast,South,1969,0.4,7.32
Area 10,BC Central Coast,South,1970,15,12.94
Area 10,BC Central Coast,South,1971,4,11.42
Area 10,BC Central Coast,South,1972,2.53,32.2
Area 10,BC Central Coast,South,1973,5.03,4.06
Area 10,BC Central Coast,South,1974,9,33.06
Area 10,BC Central Coast,South,1975,1.3,38.13
Area 10,BC Central Coast,South,1976,22.1,35.49
Area 10,BC Central Coast,South,1977,20.1,36.95
Area 10,BC Central Coast,South,1978,19,3.26
Area 10,BC Central Coast,South,1979,30.25,88.26
Area 10,BC Central Coast,South,1980,2.5,12.41
Area 10,BC Central Coast,South,1981,65.04,47.85
Area 10,BC Central Coast,South,1982,9.03,3.99
Area 10,BC Central Coast,South,1983,45.27,42.42
Area 10,BC Central Coast,South,1984,3.52,34.89
Area 10,BC Central Coast,South,1985,35.6,29.09
Area 10,BC Central Coast,South,1986,26.57,38.63
Area 10,BC Central Coast,South,1987,18.23,29.33
Area 10,BC Central Coast,South,1988,18.11,45.46
Area 10,BC Central Coast,South,1989,28.11,25.06
Area 10,BC Central Coast,South,1990,41.07,51.7
Area 10,BC Central Coast,South,1991,15.13,22.13
Area 10,BC Central Coast,South,1992,2.1,11.91
Area 10,BC Central Coast,South,1993,10.08,26.66
Area 10,BC Central Coast,South,1994,2.03,6.8
Area 10,BC Central Coast,South,1995,26.53,1.5
Area 9,BC Central Coast,South,1950,47.33,201.3
Area 9,BC Central Coast,South,1951,116.03,151.71
Area 9,BC Central Coast,South,1952,44.75,47.74
Area 9,BC Central Coast,South,1953,44,112.78
Area 9,BC Central Coast,South,1954,5.95,146.84
Area 9,BC Central Coast,South,1955,9.3,57.7
Area 9,BC Central Coast,South,1956,52.7,172.41
Area 9,BC Central Coast,South,1957,7.6,56.44
Area 9,BC Central Coast,South,1958,24.13,113.77
Area 9,BC Central Coast,South,1959,19.25,149.09
Area 9,BC Central Coast,South,1960,5.85,779.73
Area 9,BC Central Coast,South,1961,22.45,52.11
Area 9,BC Central Coast,South,1962,121.93,276.44
Area 9,BC Central Coast,South,1963,16.78,48.72
Area 9,BC Central Coast,South,1964,68.85,375.25
Area 9,BC Central Coast,South,1965,18.88,30.77
Area 9,BC Central Coast,South,1966,118.65,1559.61
Area 9,BC Central Coast,South,1967,0.1,23.62
Area 9,BC Central Coast,South,1968,111.05,329.88
Area 9,BC Central Coast,South,1969,0.53,58.84
Area 9,BC Central Coast,South,1970,144.18,1312.6
Area 9,BC Central Coast,South,1971,34.21,99.61
Area 9,BC Central Coast,South,1972,502.4,574.49
Area 9,BC Central Coast,South,1973,9.77,114.21
Area 9,BC Central Coast,South,1974,214.85,843.77
Area 9,BC Central Coast,South,1975,87.15,237.78
Area 9,BC Central Coast,South,1976,259.6,482.83
Area 9,BC Central Coast,South,1977,47.6,73.01
Area 9,BC Central Coast,South,1978,109.65,146.71
Area 9,BC Central Coast,South,1979,49.35,196.89
Area 9,BC Central Coast,South,1980,135.8,101.95
Area 9,BC Central Coast,South,1981,93.05,136.11
Area 9,BC Central Coast,South,1982,100,217.84
