Stock,Region,Area,BY,S,R
AKPen NW,Alaska Peninsula,North,1992,50,282.8
AKPen NW,Alaska Peninsula,North,1993,0.7,6.6
AKPen NW,Alaska Peninsula,North,1994,94.7,219.8
AKPen NW,Alaska Peninsula,North,1995,5.2,9.9
AKPen NW,Alaska Peninsula,North,1996,216.6,145.6
AKPen SE and Scentral,Alaska Peninsula,North,1962,826.1,2417
AKPen SE and Scentral,Alaska Peninsula,North,1963,886.5,3121.3
AKPen SE and Scentral,Alaska Peninsula,North,1964,902.4,847.7
AKPen SE and Scentral,Alaska Peninsula,North,1965,789.9,380.4
AKPen SE and Scentral,Alaska Peninsula,North,1966,627.4,1391.4
AKPen SE and Scentral,Alaska Peninsula,North,1967,327.3,2769
AKPen SE and Scentral,Alaska Peninsula,North,1968,528.1,2386.27
AKPen SE and Scentral,Alaska Peninsula,North,1969,1906.2,1699.94
AKPen SE and Scentral,Alaska Peninsula,North,1970,1007.9,135.11
AKPen SE and Scentral,Alaska Peninsula,North,1971,488,122.13
AKPen SE and Scentral,Alaska Peninsula,North,1972,81.8,334.13
AKPen SE and Scentral,Alaska Peninsula,North,1973,85.7,387.85
AKPen SE and Scentral,Alaska Peninsula,North,1974,238.6,3119.81
AKPen SE and Scentral,Alaska Peninsula,North,1975,357.8,3332
AKPen SE and Scentral,Alaska Peninsula,North,1976,1084,6134.15
AKPen SE and Scentral,Alaska Peninsula,North,1977,2168.5,6964.13
AKPen SE and Scentral,Alaska Peninsula,North,1978,1966.3,5142.53
AKPen SE and Scentral,Alaska Peninsula,North,1979,2125.1,5825.47
AKPen SE and Scentral,Alaska Peninsula,North,1980,1410.4,5638.13
AKPen SE and Scentral,Alaska Peninsula,North,1981,1875,2884.63
AKPen SE and Scentral,Alaska Peninsula,North,1982,1533.2,8519.35
AKPen SE and Scentral,Alaska Peninsula,North,1983,639.2,4553.14
AKPen SE and Scentral,Alaska Peninsula,North,1984,2526.7,4252.06
AKPen SE and Scentral,Alaska Peninsula,North,1985,1229.3,2447.77
AKPen SE and Scentral,Alaska Peninsula,North,1986,1185.5,6336.99
AKPen SE and Scentral,Alaska Peninsula,North,1987,1304.4,6761.57
AKPen SE and Scentral,Alaska Peninsula,North,1988,1636.5,2756.94
AKPen SE and Scentral,Alaska Peninsula,North,1989,1179.3,9818.25
AKPen SE and Scentral,Alaska Peninsula,North,1990,1018.2,6641.63
AKPen SE and Scentral,Alaska Peninsula,North,1991,2268.4,9725.71
AKPen SE and Scentral,Alaska Peninsula,North,1992,1781,4850.29
AKPen SE and Scentral,Alaska Peninsula,North,1993,2232.2,15767.36
AKPen SE and Scentral,Alaska Peninsula,North,1994,1700.53,4182.9
AKPen SE and Scentral,Alaska Peninsula,North,1995,4404.45,4861.03
AKPen SE and Scentral,Alaska Peninsula,North,1996,2668.95,8421.89
AKPen SW and Unimak,Alaska Peninsula,North,1962,772.7,1724.7
AKPen SW and Unimak,Alaska Peninsula,North,1963,431.4,720.2
AKPen SW and Unimak,Alaska Peninsula,North,1964,534,160.5
AKPen SW and Unimak,Alaska Peninsula,North,1965,245.5,122.4
AKPen SW and Unimak,Alaska Peninsula,North,1966,92,573
AKPen SW and Unimak,Alaska Peninsula,North,1967,118.2,834
AKPen SW and Unimak,Alaska Peninsula,North,1968,295.2,543.03
AKPen SW and Unimak,Alaska Peninsula,North,1969,568.7,426.29
AKPen SW and Unimak,Alaska Peninsula,North,1970,291,36.56
AKPen SW and Unimak,Alaska Peninsula,North,1971,214.7,27.17
AKPen SW and Unimak,Alaska Peninsula,North,1972,29.6,50.45
AKPen SW and Unimak,Alaska Peninsula,North,1973,25.1,219.64
AKPen SW and Unimak,Alaska Peninsula,North,1974,45.8,679.19
AKPen SW and Unimak,Alaska Peninsula,North,1975,194.3,789.05
AKPen SW and Unimak,Alaska Peninsula,North,1976,372.4,2224.73
AKPen SW and Unimak,Alaska Peninsula,North,1977,509.3,2074.95
AKPen SW and Unimak,Alaska Peninsula,North,1978,892.4,3834.23
AKPen SW and Unimak,Alaska Peninsula,North,1979,504.4,1062.97
AKPen SW and Unimak,Alaska Peninsula,North,1980,1231.2,1670.93
AKPen SW and Unimak,Alaska Peninsula,North,1981,431.8,738.32
AKPen SW and Unimak,Alaska Peninsula,North,1982,759.8,5961.14
AKPen SW and Unimak,Alaska Peninsula,North,1983,212,1384.85
AKPen SW and Unimak,Alaska Peninsula,North,1984,1824.9,1204.07
AKPen SW and Unimak,Alaska Peninsula,North,1985,384.5,284.24
AKPen SW and Unimak,Alaska Peninsula,North,1986,531.2,3367.21
AKPen SW and Unimak,Alaska Peninsula,North,1987,236.1,2199.22
AKPen SW and Unimak,Alaska Peninsula,North,1988,1203.1,1187.5
AKPen SW and Unimak,Alaska Peninsula,North,1989,691.6,3105.97
AKPen SW and Unimak,Alaska Peninsula,North,1990,580.2,5310.25
AKPen SW and Unimak,Alaska Peninsula,North,1991,678.4,3111.1
AKPen SW and Unimak,Alaska Peninsula,North,1992,1053.4,4872.63
AKPen SW and Unimak,Alaska Peninsula,North,1993,757.9,6762.89
AKPen SW and Unimak,Alaska Peninsula,North,1994,1371.2,1285.48
AKPen SW and Unimak,Alaska Peninsula,North,1995,2001.85,2091.5
AKPen SW and Unimak,Alaska Peninsula,North,1996,978.6,3812.51
Nushagak,Bristol Bay,North,1960,146.36,1423.44
Nushagak,Bristol Bay,North,1962,543.01,2407.88
Nushagak,Bristol Bay,North,1964,910.06,3779.49
Nushagak,Bristol Bay,North,1966,1442.42,3866.27
Nushagak,Bristol Bay,North,1968,2161.12,570.41
Nushagak,Bristol Bay,North,1970,152.58,126.49
Nushagak,Bristol Bay,North,1972,58.54,999.13
Nushagak,Bristol Bay,North,1974,585.52,1603.02
Nushagak,Bristol Bay,North,1976,863.43,13734.81
Nushagak,Bristol Bay,North,1978,9386.48,4987.74
Nushagak,Bristol Bay,North,1980,2785.2,2995.93
Nushagak,Bristol Bay,North,1982,1656.66,6053.61
Nushagak,Bristol Bay,North,1984,2926.45,339.31
Nushagak,Bristol Bay,North,1986,72.19,738.5
Nushagak,Bristol Bay,North,1988,494.61,855.56
Nushagak,Bristol Bay,North,1994,191.77,823.99
Nushagak,Bristol Bay,North,1996,821.31,139.21
Nome,Norton Sound,North,1978,70.14,430.05
Nome,Norton Sound,North,1980,397.8,677.38
Nome,Norton Sound,North,1981,13.1,28.6
Nome,Norton Sound,North,1982,639.67,2405.39
Nome,Norton Sound,North,1983,20.21,13.38
Nome,Norton Sound,North,1984,2388.21,69.19
Nome,Norton Sound,North,1985,11.26,2.68
Nome,Norton Sound,North,1986,60.47,10.53
Nome,Norton Sound,North,1987,1.43,30.81
Nome,Norton Sound,North,1988,8.19,46.41
Nome,Norton Sound,North,1989,29.77,25.32
Nome,Norton Sound,North,1990,44.18,562.25
Nome,Norton Sound,North,1991,25.13,15.05
Nome,Norton Sound,North,1992,554.72,817.9
Nome,Norton Sound,North,1993,14.18,1.97
Nome,Norton Sound,North,1994,811.34,154.54
Nome,Norton Sound,North,1995,1.48,1.56
Golovin,Norton Sound,North,1968,203.37,292.02
Golovin,Norton Sound,North,1969,232.65,14.4
Golovin,Norton Sound,North,1970,271.25,47.9
Golovin,Norton Sound,North,1971,10.12,47.72
Golovin,Norton Sound,North,1972,39.6,54.66
Golovin,Norton Sound,North,1973,33.57,47.44
Golovin,Norton Sound,North,1974,25.35,54.64
Golovin,Norton Sound,North,1975,34.65,15.6
Golovin,Norton Sound,North,1976,28.59,497.67
Golovin,Norton Sound,North,1977,6.97,60.94
Golovin,Norton Sound,North,1978,423.16,132.28
Golovin,Norton Sound,North,1979,12.45,54.91
Golovin,Norton Sound,North,1980,110.78,487.18
Golovin,Norton Sound,North,1982,442.92,407.53
Golovin,Norton Sound,North,1984,318.94,25.57
Moses Pt and Norton Bay,Norton Sound,North,1968,126.76,390.27
Moses Pt and Norton Bay,Norton Sound,North,1969,69.47,26.3
Moses Pt and Norton Bay,Norton Sound,North,1970,371.72,91.39
Moses Pt and Norton Bay,Norton Sound,North,1971,24.24,66.34
Moses Pt and Norton Bay,Norton Sound,North,1972,83.56,74.63
Moses Pt and Norton Bay,Norton Sound,North,1973,54.09,118.11
Moses Pt and Norton Bay,Norton Sound,North,1974,58.76,50.15
Moses Pt and Norton Bay,Norton Sound,North,1975,95.32,64.42
Moses Pt and Norton Bay,Norton Sound,North,1976,35.57,125.13
Moses Pt and Norton Bay,Norton Sound,North,1977,50.92,222.94
Moses Pt and Norton Bay,Norton Sound,North,1978,73.76,994.32
Moses Pt and Norton Bay,Norton Sound,North,1980,984.33,542.05
Moses Pt and Norton Bay,Norton Sound,North,1982,523.28,859.34
Moses Pt and Norton Bay,Norton Sound,North,1983,292.76,33.33
Moses Pt and Norton Bay,Norton Sound,North,1984,830.14,292.96
Moses Pt and Norton Bay,Norton Sound,North,1985,31.49,6.73
Moses Pt and Norton Bay,Norton Sound,North,1986,277.13,317.81
Moses Pt and Norton Bay,Norton Sound,North,1988,302.35,591.35
Moses Pt and Norton Bay,Norton Sound,North,1990,590.85,1603.32
Moses Pt and Norton Bay,Norton Sound,North,1991,81.46,63.73
Moses Pt and Norton Bay,Norton Sound,North,1993,61.72,30.12
Moses Pt and Norton Bay,Norton Sound,North,1995,21.59,29.54
Unalakleet,Norton Sound,North,1970,12.4,86.3
Unalakleet,Norton Sound,North,1971,0.8,46.11
Unalakleet,Norton Sound,North,1972,54.93,254.96
Unalakleet,Norton Sound,North,1973,26.54,34.78
Unalakleet,Norton Sound,North,1974,154.29,52.13
Unalakleet,Norton Sound,North,1975,17.89,34.44
Unalakleet,Norton Sound,North,1976,10.61,171.28
Unalakleet,Norton Sound,North,1977,4.57,66.11
Unalakleet,Norton Sound,North,1978,21.81,350.11
Unalakleet,Norton Sound,North,1979,9.5,129.56
Unalakleet,Norton Sound,North,1980,127.9,336.25
Unalakleet,Norton Sound,North,1981,0.58,44.99
Unalakleet,Norton Sound,North,1982,173.35,475.81
Unalakleet,Norton Sound,North,1983,4.98,4.42
Unalakleet,Norton Sound,North,1984,458.39,236.49
Unalakleet,Norton Sound,North,1986,236.49,136.5
Unalakleet,Norton Sound,North,1988,112.77,25.69
Unalakleet,Norton Sound,North,1990,25.69,637.42
Unalakleet,Norton Sound,North,1991,118.72,55.63
Unalakleet,Norton Sound,North,1993,13.57,72.56
Unalakleet,Norton Sound,North,1995,18.3,28.67
